#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


非洲,#genre#
[VGA]canal 2,https://stream1.freetv.fun/canal-2-1.m3u8
[BD]diaspora 24,https://stream1.freetv.fun/diaspora-24-1.m3u8
[HD]gandan tv,https://stream1.freetv.fun/gandan-tv-1.m3u8
[BD]lgtv,https://stream1.freetv.fun/lgtv-1.m3u8
[VGA]abn africa (480p),https://stream1.freetv.fun/abn-africa-1.m3u8
[BD]sun tv,https://stream1.freetv.fun/sun-tv-4.m3u8
[HD]tvc,https://stream1.freetv.fun/tvc-2.m3u8
阿爾巴利亞,#genre#
[BD]kohavision,https://stream1.freetv.fun/kohavision-2.m3u8
[BD]kohavision,https://stream1.freetv.fun/kohavision-1.m3u8
[HD]rtv 21 albania,https://stream1.freetv.fun/rtv-21-albania-1.m3u8
[BD]rtv,https://stream1.freetv.fun/rtv-3.m3u8
[BD]supersports 2,https://stream1.freetv.fun/supersports-2-1.ctv
[BD]supersports 3,https://stream1.freetv.fun/supersports-3-1.ctv
[HD]supersports 4,https://stream1.freetv.fun/supersports-4-1.ctv
阿爾及利亞,#genre#
[HD]daai tv,https://stream1.freetv.fun/daai-tv-1.m3u8
[HD]lex tv,https://stream1.freetv.fun/lex-tv-1.m3u8
[VGA]medi 1 tv maghreb,https://stream1.freetv.fun/medi-1-tv-maghreb-1.m3u8
阿根廷,#genre#
[HD]angel tv america,https://stream1.freetv.fun/angel-tv-america-1.m3u8
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-2.m3u8
[HD]ช่อง naughty america,https://stream1.freetv.fun/ch-ng-naughty-america-1.m3u8
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-1.m3u8
[VGA]america tv alt,https://stream1.freetv.fun/america-tv-alt-1.m3u8
[BD]canal 26,https://stream1.freetv.fun/canal-26-2.m3u8
[HD]canal orbe 21,https://stream1.freetv.fun/canal-orbe-21-1.m3u8
[BD]canal rural,https://stream1.freetv.fun/canal-rural-2.m3u8
[BD]love magazine,https://stream1.freetv.fun/love-magazine-1.m3u8
[HD]mtc tv,https://stream1.freetv.fun/mtc-tv-1.m3u8
[BD]telemax,https://stream1.freetv.fun/telemax-2.m3u8
亞美尼亞,#genre#
[SD]3abn kids,https://stream1.freetv.fun/3abn-kids-1.m3u8
[HD]3abn kids,https://stream1.freetv.fun/3abn-kids-2.m3u8
[BD]armenia 1,https://stream1.freetv.fun/armenia-1-1.m3u8
澳大利亞,#genre#
[HD]shalom world australia,https://stream1.freetv.fun/shalom-world-australia-1.m3u8
[HD]abc australia,https://stream1.freetv.fun/abc-australia-6.m3u8
[SD]abc,https://stream1.freetv.fun/abc-5.m3u8
[HD]news 24,https://stream1.freetv.fun/news-24-1.m3u8
[HD]lac news 24,https://stream1.freetv.fun/lac-news-24-1.m3u8
[BD]news 24,https://stream1.freetv.fun/news-24-2.m3u8
[VGA]tv one,https://stream1.freetv.fun/tv-one-3.m3u8
[HD]angel tv australia,https://stream1.freetv.fun/angel-tv-australia-1.m3u8
[BD]tv one,https://stream1.freetv.fun/tv-one-1.m3u8
[HD]sbs ubc,https://stream1.freetv.fun/sbs-ubc-1.m3u8
[BD]us viceland,https://stream1.freetv.fun/us-viceland-1.ctv
白俄羅斯,#genre#
[BD]беларусь 1,https://stream1.freetv.fun/belarus--1-2.m3u8
[BD]беларусь 2,https://stream1.freetv.fun/belarus--2-2.m3u8
[BD]беларусь 24,https://stream1.freetv.fun/belarus--24-3.m3u8
[SD]беларусь 24,https://stream1.freetv.fun/belarus--24-4.m3u8
[BD]беларусь 5 интернет,https://stream1.freetv.fun/belarus--5-internet-2.m3u8
[HD]ств беларусь,https://stream1.freetv.fun/stv-belarus-1.m3u8
[BD]беларусь 3,https://stream1.freetv.fun/belarus--3-2.m3u8
比利時,#genre#
[BD]rtl tvi,https://stream1.freetv.fun/rtl-tvi-2.m3u8
巴西,#genre#
[VGA]artn tv,https://stream1.freetv.fun/artn-tv-1.m3u8
[BD]arti tv,https://stream1.freetv.fun/arti-tv-2.m3u8
[HD]arta tv,https://stream1.freetv.fun/arta-tv-1.m3u8
[HD]cnn brasil,https://stream1.freetv.fun/cnn-brasil-7.m3u8
[BD]cnn brasil,https://stream1.freetv.fun/cnn-brasil-6.m3u8
[BD]cnn brasil,https://stream1.freetv.fun/cnn-brasil-2.m3u8
[SD]desenhos classicos,https://stream1.freetv.fun/desenhos-classicos-1.m3u8
[SD]HBO Xtreme,https://stream1.freetv.fun/hbo-xtreme-4.m3u8
[HD]istv,https://stream1.freetv.fun/istv-5.m3u8
[BD]istv,https://stream1.freetv.fun/istv-2.m3u8
[BD]multishow,https://stream1.freetv.fun/multishow-3.m3u8
[HD]globo rj 2,https://stream1.freetv.fun/globo-rj-2-1.m3u8
[BD]rede tv! es,https://stream1.freetv.fun/rede-tv--es-1.m3u8
[HD]record news,https://stream1.freetv.fun/record-news-2.m3u8
[HD]rede minas,https://stream1.freetv.fun/rede-minas-2.m3u8
[HD]sbt tv,https://stream1.freetv.fun/sbt-tv-2.m3u8
[BD]tv aparecida,https://stream1.freetv.fun/tv-aparecida-2.m3u8
[BD]times brasil,https://stream1.freetv.fun/times-brasil-3.m3u8
[BD]trace brasil,https://stream1.freetv.fun/trace-brasil-1.m3u8
[BD]music box brasil,https://stream1.freetv.fun/music-box-brasil-1.m3u8
[BD]racer brasil,https://stream1.freetv.fun/racer-brasil-1.m3u8
[HD]mbc brasil tv,https://stream1.freetv.fun/mbc-brasil-tv-1.m3u8
[BD]masterchef brasil,https://stream1.freetv.fun/masterchef-brasil-1.m3u8
[SD]tv cultura,https://stream1.freetv.fun/tv-cultura-1.m3u8
[VGA]play tv,https://stream1.freetv.fun/play-tv-2.m3u8
[BD]play tv,https://stream1.freetv.fun/play-tv-3.m3u8
[BD]telecine pipoca,https://stream1.freetv.fun/telecine-pipoca-3.m3u8
文萊,#genre#
[BD]rtb sukmaindera,https://stream1.freetv.fun/rtb-sukmaindera-1.m3u8
保加利亞,#genre#
[BD]dltv 7 (1080p),https://stream1.freetv.fun/dltv-7-1.m3u8
柬埔寨,#genre#
[VGA]btv,https://stream1.freetv.fun/btv-1.m3u8
[BD]btv,https://stream1.freetv.fun/btv-4.m3u8
[SD]cape town tv,https://stream1.freetv.fun/cape-town-tv-1.m3u8
